Category,Question,Answer
Görevli Öğrenci Programı,Görevli Öğrenci Programı’nın başvuru şartları nelerdir?," İngilizce Hazırlık Programı’nı bitirmiş ve lisans/önlisans programına başlama seviyesinde, Genel Not Ortalaması 2,00 ve üzerinde, disiplin cezası almamış, kaydını dondurmamış, staj yapmayan lisans ve önlisans öğrencileri başvuru yapabilir."
Görevli Öğrenci Programı,Başvuru süresini kaçırdım. Ne yapmam gerekir?, Akademik yılın ilerleyen zamanında boşalan kadrolar olduğunda değerlendirilmek üzere başvuru yapabilirisiniz ve ara dönemlerde ilave kadrolara ihtiyaç duyan birimler için ilanlar verilmektedir. Başvurunuzu yapabilirsiniz.
Görevli Öğrenci Programı,Üniversite’nin hangi birimlerinde çalışabilirim?," Üniversitemizin idari ve akademik birimleri ile araştırma merkezlerinde görev almanız mümkün. İlanlarda, birimlerin istediği özellikler ve iş tanımı hakkında açıklama metni bulunur.Ayrıca Kariyer Merkezi’nin  ‘bilgikariyer.com’ web sayfasında, Görevli Öğrenci Programı sekmesinde detaylı bilgi bulabilirsiniz. Ara zaman başvurularında da bu bilgileri Görevli Öğrenci Programı Ofisi’nden alabilirsiniz."
Görevli Öğrenci Programı,Görevli Öğrenci Programı’na başlarsam alacağım destek nelerdir?," Görevli Öğrenci Programı’na kabul edilirseniz, çalışmanızın karşılığında aylık olarak yemek kartına yapılan dolumla yemek desteği, ücret desteği ve SGK hakkı kazanırsınız. Aylık azami 40 saat çalışarak elde edeceğiniz destek her akademik yılın başında Mütevelli Heyeti tarafından belirlenir ve duyurulur."
Görevli Öğrenci Programı,Başvurum hangi kriterlere göre değerlendirilmekte?," Başvurunuzun kabulünde birkaç kriter önemlidir. ÖSYS Bursu sahibi olmak, maddi ihtiyacını belgelemek, aranılan işe uygun özelliklere sahip olmak ve istenilen çalışma saatlerine uygun ders programına sahip olmak öncelikli seçim kriteridir."
Görevli Öğrenci Programı,Başvurum olumlu ise takip etmem gereken başka bir süreç var mı?," SGK girişinizi başlatmak için Banka işlemlerinizi zamanında bitirmeli ve evraklarınızı zamanında teslim etmelisiniz. Çalışma programına uymak, ilgili birim sorumlusunun iş tanımına uygun olarak vereceği işleri sorumlulukla yerine getirmek ve prosedürler uymak gereklidir."
Görevli Öğrenci Programı,Başvurum olumsuz ise tekrar ne zaman başvurabilirim?, Başvurularınız ait olduğu akademik dönem için -pozisyon oluşması halinde değerlendirilmek üzere ara dönemler için- kayıt altına alınır. Her yeni akademik yıl ve yaz aylarında başvurunuzu tekrarlayabilirsiniz.
Görevli Öğrenci Programı,Görevli Öğrenci Programı’na başladığımda derslerime olumsuz etkisi olur mu?," Çalışma programınız, bölümdeki ders programınız göz önüne alınarak yapılır. Derslerden artan zamanlar, çalışma programına alınır ve haftada 5 veya en fazla 10 saat çalışılabilirsiniz. Akademik başarınızı etkilediğini düşündüğünüz durumlarda lütfen ilgili birim sorumlusuna durum hakkında bilgi veriniz."
Kariyer Merkezi,Kariyer Merkezi’nin sunduğu hizmetler ücretli midir?, Kariyer Merkezi’nin sağladığı bütün faaliyetler ücretsizdir.
Kariyer Merkezi,İstanbul Bilgi Üniversitesi dışından gelen arkadaşlarım Kariyer Merkezi etkinliklerine katılabilir mi?, Maalesef. Bütün aktivitelerimiz yalnızca BİLGİ öğrenci ve mezunlarına yöneliktir.
Kariyer Merkezi,Kariyer Merkezi bana iş/staj bulur mu?," Kariyer Merkezi İŞKUR onaylı bir istihadam bürosu değildir. Varlık nedeni öğrenci ve mezunlarımıza iş bulmak değil onlara kariyer hayatı boyunca ihtiyaç duyacakları işe alınabilirlik becerilerini kazandırmaktır.  Kariyer Merkezi web sitesine ilan bırakan kuruluşların iş ve staj olanaklarını görüntüleyebilir ve başvuruda bulunabilirsiniz, fakat bu Kariyer Merkezi’nin bu firmalarla anlaşmalı olduğu anlamına gelmez. Başvuru süreci firma ile başvuruyu yapan aday arasındadır."
Kariyer Merkezi,Gönüllü staj nedir? Benim için avantajı nelerdir?," Fakültelerin mezuniyet yükümlülüğü olarak belirttiği “Zorunlu Staj”ların dışında, öğrencinin deneyim kazanmak için yaptığı diğer stajlara verilen ad “Gönüllü Staj”dır. Bir çok öğrencimiz yaptığı gönüllü stajlar sayesinde, işe girmeden önce gerçekten ne istediğini ve/veya istemediğini görerek doğru adımlarla ilerlemesine yardımcı olmaktadır. Kariyer Merkezi olarak öğrencilerimizin gönüllü stajları için SGK’larını ödemekteyiz. Bu da öğrencilerimizin staj bulma ve staja yerleştirilmeleri konusunda önemli rekabet avantajı sağlamaktadır."
Kariyer Merkezi,Gönüllü staj yapmak istiyorum. Ne yapmam gerekir?," Staja başlamadan en az iki hafta önce Kariyer Merkezi’yle görüşerek, gerekli evrakları en az 5 iş günü öncesinden Kariyer Merkezi’ne orjinal belgeleri teslim etmelisiniz. İlgili belgeler için: www.bilgikariyer.com ‘dan tıklayarak “Gönüllü Staj Yapmak İsteyen Öğrenciler” başlığı altındaki bilgilere ulaşabilirsiniz."
Kariyer Merkezi,Kariyer Merkezi beni bana uygun olan işlere yönlendirir mi?," Kariyer Merkezi size uygun olan staj ve iş olanaklarını sunar ancak yönlendirme yapılmamaktadır. Onun yerine koçluk, danışmanlık, sertifika programları, seminerler ve çeşitli hizmetlerle öğrencinin kendi potansiyel ve fırsatlarını keşfetmeleri sağlanmaktadır. Staj ve iş olanakları için Bilgi Kariyer'de yayınlanan ilanları inceleyebilirsiniz."
Kariyer Merkezi,Kariyer Merkezi’nden hangi hizmetleri alabilirim?," “CV - Ön Yazı - Motivasyon Mektubu Düzenleme, “Mülakat Provaları”, “Koçluk” ve “Danışmanlık” öğrencilere birebir yapılan görüşmelerle sunduğumuz hizmetlerdir. Ayrıca üniversite-sektör işbirliği çerçevesinde çeşitli sertifika programları, kişisel gelişim ve iş hayatına hazırlık seminerlerimiz mevcuttur. Mezun-öğrenci ilişkilerini güçlendirmek adına yaptığımız mentorluk programı da yapılmaktadır. Bunların yanı sıra sivil toplum kuruluşlarıyla ortaklaşa yürüttüğümüz programlarımız vardır. Şu an aktif olan programlarımız ve detaylı bilgi için www.bilgikariyer.com 'u ziyaret edebilirsiniz."
Kariyer Merkezi,Koçluk ve danışmanlık arasındaki fark nedir?," Danışmanlık; Ne yapmak istediğini bilen fakat nasıl yapacağını bilmeyen tüm öğrenci ve mezunlarımıza yönelik birebir yapılan görüşmelerdir. 3 Danışmanımız görev yapmaktadır. Koçluk ise; Öğrenci ve mezunlarımızın “Ne istiyorum?” – “Nasıl yapabilirim?” – “Nereden başlamalıyım?” sorularının cevaplarını bulabileceği bir hizmettir. Ortalama 45 dk-1 saat süren birebir yapılan seanslar eşliğinde gerçekleştirilmektedir. Öğrencilerimizin kendisini yeniden keşfetmesini sağlayan bir süreçtir. Kişinin seanslarda duygu durumlarıyla yüzleşerek kendini tanımasını sağlar. Farkında olmadığı yetkinliklerini-becerilerini keşfederek farkına varmasını ve varolanları geliştirmesine destek olur. Bir nevi bir keşif yolculuğu olarak da nitelendirebiliriz. Kariyer Merkezi bünyesinde şu an için koçluk eğitimi almış 2 koç çalışmaktadır. Gestalt Koçluğu ve genel koçluk olmak üzere iki tür koçluk vardır. Gestalt Koçluğunu Canan Tütüncükara, genel koçluğu Duygu Biricik Gülseren vermektedir. Koçluk görüşmelerine başlayan öğrenci/mezunlarımızın bu görüşmelerden fayda sağlayabilmesi için ortalama 8-10 seans almaları gerekmektedir. Kişinin talebi doğrultusunda devam eden bir süreçtir. Kişi bu süreçte ve sonrasında kendisindeki değişimleri ve hayatındaki yansımalarını rahatlıkla görmektedir."
Kariyer Merkezi,Sertifika programlarına katılım şartı nedir?, Her sertifika programının kendine göre katılım koşulları olmakla beraber genellikle 3. ve 4. Sınıf öğrencilerine açık programlardır. Daha detaylı koşullar ise her programın duyuru metninde yer almaktadır. Öğrencilerimiz başvuru sırasına göre kontenjan dahilinde programa kabul edilirler.
Kariyer Merkezi,Sertifika Programlarından katılım belgesi alma şartları nelerdir?, Her programın süresine bağlı devamlılık koşulu ve program içeriğine göre öğrencilerimiz katılım belgesi almaya hak kazanır.
Kariyer Merkezi,Sertifika programları sonunda staj imkanı sağlanır mı?, Her programın süresine bağlı devamlılık koşulu ve program içeriğine göre öğrencilerimiz katılım belgesi almaya hak kazanır.
Kariyer Merkezi,"Öğrenci değil, mezunum. Kariyer Merkezi’nden ben de faydalanabilir miyim?", Tüm bölümlerde okuyan ve mezun olan öğrencilerimiz hizmetlerimizden faydalanabilir.
Kariyer Merkezi,Mentorluk Programı nedir?," Alanında en az 3-5 yıl sektör deneyimine sahip BİLGİ mezunlarımızla, öğrencilerimizin eşleştirilerek bilgi ve deneyim paylaşımı yapılan bir süreçtir. Mezunlarımız gönüllü olarak bu hizmeti vermektedirler. Öğrencimiz ilgi duyduğu sektör ve çalışma alanı dahilinde, atanan mentoru ile 6 aylık süre boyunca birbir iletişim kurarak mentorluk alma imkanına sahip olur. Mentorluk Programı’nın  bir parçası olmak isteyen mezunlarımız kariyermerkezi@bilgi.edu.tr adresine CV’lerinizi gönderebilirsiniz. "
Kariyer Merkezi,Kariyer Merkezi hangi saatler arası çalışır?, Hafta içi 08.30 – 17.30 saatleri arasında santralistanbul Kampüsü ÇSM 110 no’lu ofise gelerek bize ulaşabilirsiniz.
Kariyer Merkezi,Kariyer Merkezi’ne nasıl başvurabilirim?," Kariyer Merkezi’ne kariyermerkezi@bilgi.edu.tr adresine e-mail ile randevu talebinizi yazarak veya www.bilgikariyer.com üzerinden “Danışman Randevusu” başlığına tıklayarak bize ulaşabilirsiniz. “Danışmanlık”, “Koçluk”, “CV/Kapak Yazısı Düzenleme” ve “Mülakat Provaları” için randevu almadan gelmemenizi öneririz. Aksi takdirde sizinle ilgilenecek kişiler başka görüşmede olabilirler."
Kütüphane,Kaynak gecikme bedelini nasıl ödeyebilirim?," Aşağıdaki banka hesabına para cezanızı ödeyebilirsiniz. Daha fazla bilgi için İstanbul Bilgi Üniversitesi Kütüphane ve E- Kaynaklar Geciken Kaynaklar Kütüphane Politikasını http://library.bilgi.edu.tr/borrowing_circulation_tr.html linkinden takip edebilirsiniz. Garanti Bankası Çağlayan Şubesi Şube No: 403  Hesap No: 6201302 IBAN: TR200006200040300006201302 Açıklama : ""Kütüphane Gecikme Bedeli, Ad ve Soyad Not: Dekontu kutuphane@bilgi.edu.tr adresine gönderebilir veya çıktı alıp kütüphaneye teslim edebilirsiniz."
Kütüphane,Kütüphanelerarası ödünç verme yoluyla (ILL) nasıl kitap getirtebilirim?," Bu hizmetten Kütüphane'ye kayıtlı akademisyenler, yüksek lisans ve doktora öğrencileri yararlanabilir. ILL, BİLGİ Kütüphanesi'nde bulunmayan kitap ve makaleleri kullanıcıların isteği üzerine diğer kütüphanelerden sağlar. Kullanıcılar ILL isteklerini online olarak http://opac.bilgi.edu.tr/illb"
Kütüphane,Kütüphane hangi saatlerde açıktır?, Kütüphanenin açık olduğu saatleri aşağıda belirtilen link aracılığla takip edeblirsiniz. http://library.bilgi.edu.tr/screens/library_hours_tr.html Kütüphaneler resmi tatillerde kapalıdır. Kütüphaneler sınav dönemlerinde daha uzun süreli açık tutulmaktadır. Gerektiğinde kütüphane saatlerinde değişiklik yapılır.
Kütüphane,Şifremi unuttum. Ne yapmalıyım?," Kütüphane web sayfasında yer alan ""My Account (https://opac.bilgi.edu.tr/patroninfo)"" alanını kullanabilir ve bu kısımda yer alan ""Forgot Your PIN (https://opac.bilgi.edu.tr/pinreset~S10)” seçeneğini kullanarak şifre yenileme işleminizi gerçekleştirebilirsiniz."
Kütüphane,Ödünç aldığım kaynağın kullanım süresini nasıl uzatabilirim?," Ödünç alınan materyal başkası tarafından ayırtılmamışsa (hold konulmamışsa), ödünç alma süresi uzatılabilir. Bir materyalin ödünç süresi web üzerinden 2 kere uzatılabilir. İade tarihini uzatma işlemi telefonla veya e-postayla yapılmamaktadır. Ödünç süresi uzatılmak istenen materyalin süresi dolmadan uzatma işlemi yapılmalıdır. Ödünç süresini uzatmak kullanıcının sorumluluğundadır. Her kullanıcı kütüphaneye getirdiği materyalin uzatma işlemini ödünç verme bankosunda kendi yaptırmalıdır."
Kütüphane,İstanbul Bilgi Üniversitesi'nden mezun öğrenciler Kütüphane'den faydalanabilir mi?," Mezun öğrencilerin İstanbul Bilgi Üniversitesi Kütüphanelerinden faydalanabilmeleri için ""Bilgim : İstanbul Bilgi Üniversitesi Mezunlar Derneği” ne üye olmaları gerekmektedir. Derneğe üye olduktan sonra kütüphaneye gelerek ""Kütüphane Kayıt Formu""nun doldurulması gerekmektedir."
Kütüphane,PIN nasıl oluşturulur?," Kütüphane sayfalarında bulunan Kütüphane Hesabım linkine tıklayın. Adınızı ve ID numaranızı (okul / sicil numaranız) yazıp, PIN alanını boş bırakarak Submit butonuna tıklayın. Bir sonraki ekranda, kendinize yeni bir PIN oluşturmanız istenecektir. İstediğiniz kodu iki defa girdikten sonra Submit butonuna tıklayın. Bundan sonraki tüm girişlerinizde, belirlediğiniz PIN kodunu kullanmaniz gerekmektedir."
Kütüphane,E-kitaplardan nasıl yararlanabilirim?," Kütüphanemiz e-kaynak koleksiyonunda 350.000'den fazla e-kitap bulunmaktadır. Öğrencilerimiz bu kitapları dilerse kampüs içinden dilerseler kampüs dışından online olarak okuyabilirler. Ya da e-kütüphanemize erişerek bu kitapları bilgisayar, tablet, mobil cihazları veya  kütüphanemizde bulunan e-kitap okuyucuları ile ödünç alabilirler. Böylece öğrencilerimiz internet olmadığında e-kitapları okumaya devam ederler."
Lisans/Önlisans Öğrenci İşleri,Öğrenci İşleri’nin çalışma saatleri nelerdir?, Öğrenci İşleri ofisleri hafta içi saat 08.30-17.00 arasında hizmet verir.
Lisans/Önlisans Öğrenci İşleri,Akademik yıl nedir?, Öğrenim görülen ve en az iki dönemden oluşan öğretim yılıdır.
Lisans/Önlisans Öğrenci İşleri,Akademik Takvim nedir ve nereden ulaşabilirim?," Akademik Takvim, öğrencinin bir akademik yıl için kullanacağı bir zamanlama rehberidir. Akademik Kurul tarafından her akademik yıl için saptanır ve Üniversite web sayfasında yayınlanır. Kayıt ve sınav dönemleri ile önemli başvuru tarihleri Akademik Takvim’de belirtilir. Öğrencilerimizin özellikle ders seçimi, vb. konularda takvime uymaları zorunludur. Aksi halde hak kaybı yaşanabilir."
Lisans/Önlisans Öğrenci İşleri,SIS şifremi hatırlamıyorum. Ne yapmalıyım?," SIS (Öğrenci Sayfası), BİLGİ Online, Kütüphane veya BİLGİ E-mail gibi tüm servisler için ortak bir şifre kullanılmaktadır. Şifrenin unutulması durumunda, ""bilgipass"" yazıp 2322’e SMS göndererek geçici şifre edinilebilir. Şifrenin ilk kullanımda değiştirilmesi gerekmektedir. Yeni şifre; sis.bilgi.edu.tr (SIS/Öğrenci Sayfası) üzerindeki “Şifre Değiştirme” adımından oluşturulabilir. Verilen linkten kayıtlı kişisel bilgilerinizi doğrulayarak yeni şifre üretebilirsiniz. https://sis.bilgi.edu.tr"
Lisans/Önlisans Öğrenci İşleri,Öğrenci işleri'ne nasıl ulaşabilirim?, Her kampüsümüzde bir Öğrenci İşleri Ofisi bulunmaktadır. Ofis adreslerimiz ve iletişim bilgileri aşağıdaki gibidir: Dolapdere Kampüsü Hacıahmet Mahallesi Pir Hüsamettin Sokak No:20 34440 Beyoğlu İstanbul. Santralistanbul Kampüsü  Eski Silahtarağa Elektrik Santralı  Kazım Karabekir Cad. No: 2/13 34060 Eyüp İstanbul / Fax: 0212 625 98 34 . (İngilizce Hazırlık ve Sağlık Programları için) Kuştepe Kampüsü İnönü Cad. No:6 Kuştepe 34387 Şişli/İstanbul e-mail: info@bilgi.edu.tr Tel: 444 0 428
Lisans/Önlisans Öğrenci İşleri,Dikey Geçiş Nasıl Yapabilirim,"Dikey Geçiş, ÖSYM’ce yapılan merkezi bir sınavla (DGS), 2 yıllık önlisans programından 4 yıllık lisans programına geçiştir. Meslek Yüksek Okulu mezunları ya da son sınıf öğrencileri, her yıl ÖSYM’nin belirlediği tarihte, DGS için başvuru yapabilir. DGS ile yerleşen öğrencilerimizin daha önceden aldığı derslerden muaf olmaları için Ders Muafiyet Formu ‘nu doldurarak Ön Lisans programından almış oldukları dersleri gösteren resmi transkript (not durum belgesi) ve ders içerikleri ile beraber Öğrenci İşleri'ne başvurması gerekir."
Lisans/Önlisans Öğrenci İşleri,"İç yatay geçiş (bölüm değiştirme) nasıl yapılır, kimler başvurabilir?", Ayrıntılı bilgi için tıklayınız. İstanbul Bilgi Üniversitesi İç Yatay Geçiş Yönergesi
Lisans/Önlisans Öğrenci İşleri,"Dış yatay geçiş nedir, kimler başvurabilir?", Ayrıntılı bilgi için tıklayınız. İstanbul Bilgi Üniversitesi Dış Yatay Geçiş Yönergesi
Lisans/Önlisans Öğrenci İşleri,Çift ana dal (Double Major) nedir? Kimler başvurabilir?," Çift anadal (major) eğitim-öğretimi, bir lisans programına kayıtlı olan bir öğrencinin, ikinci bir lisans diploması almak amacıyla diğer bir lisans programına devam etmesidir."
Lisans/Önlisans Öğrenci İşleri,Yan dal (Minor) nedir? Kimler başvurabilir?," Yan dal (“minor”) eğitim-öğretimi, bir lisans programına kayıtlı olan öğrencinin, bilgisini artırmak amacıyla ikinci bir lisans programından ders almasıdır. Kayıtlı olunan lisans programına “anadal”, başvurusu kabul edilen lisans programına ise “yan dal” denir. Başvuru Koşulları: • En az 2,60 GNO • Başvurulan yarıyıl başında kayıtlı olunan lisans programının o yarıyıla kadarki zorunlu dersleri ile zorunlu kredi yükünü tamamlanmış olması ve derslerin tümünden başarılı olunması. Başvuru tarihleri akademik yıl başlamadan önce Öğrenci İşleri Ofisi tarafından anons edilir. Yan dal için en erken 3., en geç 6. yarıyılın başında başvurulabilir."
Lisans/Önlisans Öğrenci İşleri,Öğrenci İşleri’nden hangi belgeleri alabilirim ve nasıl başvuruda bulunabilirim?," Öğrenci İşleri’nden öğrenci belgesi, not dökümü (transcript), İngilizce Hazırlık Programı’nı bitirdiğinize dair belge, disiplin belgesi ve ayrıca “diğer” seçeneğini kullanarak bölüm sıralamanızı gösteren belge, kayıt sildirme belgesi ve muhtemel mezuniyet tarihini gösterir belge alabilirsiniz. Öğrenci Belgesi, Disiplin Belgesi , Transcript, Hazırlık Muafiyet ve Hazırlık Başarı Belgesi başvurularınız için SIS sayfalarınızdan Belge Talep bölümünden ilgili belgeyi seçip talepte bulunabilirsiniz. Belge talepleriniz Elektronik Belge Yönetim Sistemi (EBYS) üzerinden (……@bilgiedu.net) adreslerinize e-posta olarak gönderilecektir ve Öğrenci İşleri tarafından basılı teslim yapılmayacaktır. İhtiyacınız halinde size gönderilen belgenizi basabilir veya isteyen kurumlara e-posta olarak gönderebilirsiniz. Yukarıda belirtilen belgelerin dışında ihtiyacınız doğrultusunda “Diğer (Other)” seçeneğini kullanarak belge talebinizi oluşturabilirsiniz. Diğer seçeneğini kullanırken lütfen talep ettiğiniz belge hakkında “eklemek istedikleriniz “bölümünü doldurarak adet, dil, teslim alınacak kampüs seçeneklerini işaretlemeniz gerekmektedir."
Lisans/Önlisans Öğrenci İşleri,Öğrenci kimliğimi nasıl ve nereden alabilirim?, Öğrencilerimizin kimlikleri Üniversitemiz’e ilk kayıt işlemleri yapılırken verilmektedir.
Lisans/Önlisans Öğrenci İşleri,Öğrenci kimliğimi kaybettim. Nasıl yenileyebilirim?," Yeni öğrencilerimizin kimlikleri Üniversitemiz’e kayıt işlemleri yapılırken verilmektedir. Öğrenci kimliğini kaybeden öğrencilerimiz, santralistanbul Kampüsü Öğrenci İşleri Ofisi’nden yeni kimliğini alabilir."
Lisans/Önlisans Öğrenci İşleri,İstanbulkart (paso-iett seyahat kartı) nasıl alabilirim?, ÖSYS ile İstanbul Bilgi Üniversitesi’ne yerleşen yeni öğrencilerin pasoları kayıt işlemleri yapılırken verilmektedir. Pasosu olmayan veya kaybeden öğrencilerin İETT’ye bireysel başvuru yapmaları gerekmektedir. istanbulkart başvurusu için tıklayınız.
Lisans/Önlisans Öğrenci İşleri,Adres ve/veya iletişim bilgilerimde değişiklik oldu. Ne yapmalıyım?," İletişim bilgilerinizi de Öğrenci Sayfanız’dan yenileyebilirsiniz. Telefon numaralarınız ve mail adresleriniz, öğrenci sayfasına girişte kullandığınız şifre değişikliği için ya da önemli durumlarda akademisyenlerin ve idari personelimizin size ulaşabilmesi için mutlaka güncellenmelidir."
